degree,k,method,ok_pct,f_mean,f_p90,f_p99,t_mean_ms,t_std_ms,t_p50_ms,t_p90_ms,t_p99_ms,source_log
25,30,lstm,85.03,5.754e-12,1.775e-11,8.574e-11,7.797,3.497,6.064,14.39,17.373,eval_k_sweep_deg25.log
25,30,anchored_fb,85.12,6.177e-12,2.084e-11,8.455e-11,7.538,3.513,6.038,14.083,16.588,eval_k_sweep_deg25.log
30,5,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,0.516,2.188,2.966,3.808,eval_k_sweep_deg30.log
30,5,anchored,81.19,6.493e-12,2.281e-11,8.547e-11,3.332,1.883,2.912,5.016,7.258,eval_k_sweep_deg30.log
30,5,ann,77.57,7.733e-12,2.963e-11,8.79e-11,3.296,1.38,2.956,4.988,6.867,eval_k_sweep_deg30.log
30,5,lstm,83.64,5.325e-12,1.583e-11,8.331e-11,3.03,1.585,2.574,4.759,7.082,eval_k_sweep_deg30.log
30,5,anchored_fb,85.11,8.218e-12,3.286e-11,8.964e-11,3.426,2.018,2.912,5.39,8.366,eval_k_sweep_deg30.log
30,10,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,0.516,2.188,2.966,3.808,eval_k_sweep_deg30.log
30,10,anchored,84.27,6.531e-12,2.281e-11,8.595e-11,4.204,1.922,3.592,6.372,11.774,eval_k_sweep_deg30.log
30,10,ann,84.98,6.906e-12,2.48e-11,8.741e-11,3.914,1.95,3.437,5.954,11.106,eval_k_sweep_deg30.log
30,10,lstm,85.09,5.592e-12,1.676e-11,8.442e-11,3.951,2.086,3.15,6.169,11.569,eval_k_sweep_deg30.log
30,10,anchored_fb,85.15,6.935e-12,2.525e-11,8.752e-11,4.224,1.945,3.594,6.443,11.774,eval_k_sweep_deg30.log
30,15,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,0.516,2.188,2.966,3.808,eval_k_sweep_deg30.log
30,15,anchored,84.34,6.368e-12,2.163e-11,8.667e-11,6.148,2.72,5.07,9.758,15.287,eval_k_sweep_deg30.log
30,15,ann,85.04,6.686e-12,2.359e-11,8.847e-11,5.553,2.522,4.683,8.901,14.206,eval_k_sweep_deg30.log
30,15,lstm,85.11,5.802e-12,1.798e-11,8.358e-11,5.733,2.883,4.438,9.454,14.952,eval_k_sweep_deg30.log
30,15,anchored_fb,85.15,6.741e-12,2.414e-11,8.834e-11,6.167,2.743,5.07,9.827,15.287,eval_k_sweep_deg30.log
30,20,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,0.516,2.188,2.966,3.808,eval_k_sweep_deg30.log
30,20,anchored,84.38,6.286e-12,2.111e-11,8.662e-11,10.68,4.617,9.033,17.072,24.784,eval_k_sweep_deg30.log
30,20,ann,85.04,6.516e-12,2.243e-11,8.846e-11,8.87,3.796,7.409,14.029,20.636,eval_k_sweep_deg30.log
30,20,lstm,85.11,5.814e-12,1.792e-11,8.457e-11,9.103,3.986,7.304,14.611,21.71,eval_k_sweep_deg30.log
30,20,anchored_fb,85.15,6.63e-12,2.324e-11,8.792e-11,10.698,4.632,9.033,17.113,24.784,eval_k_sweep_deg30.log
30,25,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,0.516,2.188,2.966,3.808,eval_k_sweep_deg30.log
30,25,anchored,84.51,6.558e-12,2.308e-11,8.67e-11,9.153,3.947,7.275,15.356,20.678,eval_k_sweep_deg30.log
30,25,ann,85.1,6.072e-12,1.931e-11,8.707e-11,8.246,3.745,6.442,14.144,18.673,eval_k_sweep_deg30.log
30,25,lstm,85.12,5.949e-12,1.914e-11,8.417e-11,8.592,3.781,6.515,14.831,19.867,eval_k_sweep_deg30.log
30,25,anchored_fb,85.15,6.816e-12,2.455e-11,8.754e-11,9.169,3.967,7.275,15.426,20.7,eval_k_sweep_deg30.log
30,30,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,0.516,2.188,2.966,3.808,eval_k_sweep_deg30.log
30,30,anchored,84.39,6.467e-12,2.163e-11,8.652e-11,10.19,3.848,8.618,16.815,21.116,eval_k_sweep_deg30.log
30,30,ann,85.0,5.953e-12,1.824e-11,8.579e-11,9.23,3.726,7.543,15.661,19.543,eval_k_sweep_deg30.log
30,30,lstm,85.08,5.802e-12,1.815e-11,8.441e-11,9.837,3.782,8.088,16.663,20.784,eval_k_sweep_deg30.log
30,30,anchored_fb,85.12,6.774e-12,2.331e-11,8.754e-11,10.207,3.873,8.618,16.863,21.123,eval_k_sweep_deg30.log
35,5,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,0.354,2.107,2.391,3.137,eval_k_sweep_deg35.log
35,5,anchored,82.31,5.901e-12,1.792e-11,8.651e-11,3.289,1.562,2.859,4.855,7.054,eval_k_sweep_deg35.log
35,5,ann,82.17,5.957e-12,1.907e-11,8.606e-11,2.988,1.374,2.513,4.612,6.654,eval_k_sweep_deg35.log
35,5,lstm,84.55,5.593e-12,1.677e-11,8.606e-11,3.11,1.287,2.672,4.909,6.951,eval_k_sweep_deg35.log
35,5,anchored_fb,85.11,7.173e-12,2.516e-11,8.949e-11,3.35,1.651,2.859,5.095,7.358,eval_k_sweep_deg35.log
35,10,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,0.354,2.107,2.391,3.137,eval_k_sweep_deg35.log
